Reference, Value, Footprint, Datasheet
"X1","Crystal","keyboard_parts:FA-238",""
"C3","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C4","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C6","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"R4","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"R3","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"SW1","SW_PUSH","Button_Switch_SMD:SW_SPST_TL3342",""
"C1","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C2","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"ATMEGA32U2","ATMEGA32U2","keyboard_parts:QFP32_reflow",""
"K1","KEYSW","keebs:Mx_Alps_100",""
"D1","D","keyboard_parts:D_SOD123_axial",""
"K2","KEYSW","keebs:Mx_Alps_100",""
"D2","D","keyboard_parts:D_SOD123_axial",""
"K3","KEYSW","keebs:Mx_Alps_100",""
"D3","D","keyboard_parts:D_SOD123_axial",""
"K4","KEYSW","keebs:Mx_Alps_100",""
"D4","D","keyboard_parts:D_SOD123_axial",""
"K5","KEYSW","keebs:Mx_Alps_100",""
"D5","D","keyboard_parts:D_SOD123_axial",""
"K6","KEYSW","keebs:Mx_Alps_100",""
"D6","D","keyboard_parts:D_SOD123_axial",""
"K7","KEYSW","keebs:Mx_Alps_100",""
"D7","D","keyboard_parts:D_SOD123_axial",""
"K8","KEYSW","keebs:Mx_Alps_100",""
"D8","D","keyboard_parts:D_SOD123_axial",""
"K9","KEYSW","keebs:Mx_Alps_100",""
"D9","D","keyboard_parts:D_SOD123_axial",""
"K10","KEYSW","keebs:Mx_Alps_100",""
"D10","D","keyboard_parts:D_SOD123_axial",""
"K11","KEYSW","keebs:Mx_Alps_100",""
"D11","D","keyboard_parts:D_SOD123_axial",""
"K12","KEYSW","keebs:Mx_Alps_100",""
"D12","D","keyboard_parts:D_SOD123_axial",""
"K13","KEYSW","keebs:Mx_Alps_100",""
"D13","D","keyboard_parts:D_SOD123_axial",""
"K14","KEYSW","keebs:Mx_Alps_100",""
"D14","D","keyboard_parts:D_SOD123_axial",""
"K15","KEYSW","keebs:Mx_Alps_100",""
"D15","D","keyboard_parts:D_SOD123_axial",""
"K16","KEYSW","keebs:Mx_Alps_100",""
"D16","D","keyboard_parts:D_SOD123_axial",""
"K17","KEYSW","keebs:Mx_Alps_100",""
"D17","D","keyboard_parts:D_SOD123_axial",""
"K18","KEYSW","keebs:Mx_Alps_100",""
"D18","D","keyboard_parts:D_SOD123_axial",""
"K19","KEYSW","keebs:Mx_Alps_100",""
"D19","D","keyboard_parts:D_SOD123_axial",""
"K20","KEYSW","keebs:Mx_Alps_100",""
"D20","D","keyboard_parts:D_SOD123_axial",""
"C8","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"USBC1","HRO-TYPE-C-31-M-12","",""
"R5","5.1k","",""
"R6","5.1k","",""
